male_epsilon,male_sigma,female_epsilon,female_sigma
2.035241381,0.273354741,2.238406941,-0.507043787
0.273354741,0.180446685,0.284892711,0.315588744
2.238406941,0.284892711,2.920278366,-0.454564892
-0.507043787,0.315588744,-0.454564892,1.674923636
